BOR;AN;FI;FI_EJ;BIO_A1;BIO_A2;BIO_A3;BIO_A4;BIO_A5;BIO_A6;BIO_A7;BIO_A8;BIO_A9;BIO_A10;BIO_A11;BIO_A12;BIO_A13;BIO_A14;BIO_A15;BIO_A16;BIO_A17;BIO_A18;BIO_B1;BIO_B2;BIO_B3;BIO_B4;BIO_A19;BIO_A20;BIO_B19;BIO_B20;BIO_B21;BIO_C19;BIO_C20;BIO_A22;BIO_A23;BIO_A24;BIO_A25;BIO_A26;BIO_A27;BIO_A28;BIO_A29;BIO_A30;BIO_B22;BIO_B23;BIO_B24;BIO_B25;BIO_B26;BIO_B27;BIO_B28;BIO_B29;BIO_B30;BIO_C22;BIO_C23;BIO_C24;BIO_C25;BIO_C26;BIO_C27;BIO_C28;BIO_C29;BIO_C30;BIO_D22;BIO_D23;BIO_D25;BIO_E22;BIO_E23;BIO_E25
BIO;2019;210987731;210780417;1;0;0;1;1;1;0;1;0;0;1;1;1;1;0;1;1;0;;280257;3399;0;3860;104;7373;21;586;4188;2642;1;2;1;13;;2;1;6;3;;1;1;1;1;4;1;4;1;1;2.5;1.75;13.5;0.8;3.7;1.25;8.1;3.24;0;0;0;0;0;0
BIO;2019;220000012;220000020;1;0;0;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;1379556;18821;7196;;;;;;;;;4;2;43;13;;;;;;5;;18;2;;;;;;6.96;2.08;52.53;13.68;;;;;;0;;;1;
BIO;2019;220000343;220000079;1;1;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;342769;11947;7535;0;0;0;0;0;0;0;2;;1;6;2;;;;;1;;;8;1;;;;;2.6;;1;12.4;2.7;;;;;0;;1;1;;0
BIO;2019;220000368;220000103;1;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;338723;71034;45122;;;;;;;;;;;8;3;;;;;3;1;1;9;2;;;;;2.05;0.6;0.85;15.96;4.49;;;;;0;0;1;1;1;0
BIO;2019;220000541;220000152;1;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;166768;112062;73547;;;;;;;;1;;1;7;1;;;;;1;;1;8;3;;;;;1.9;;1.2;13.85;2.21;;;;;0;;;1;;
BIO;2019;230000820;230780041;1;1;0;1;1;0;0;1;1;0;1;1;1;1;0;0;0;0;1;409888;314703;187799;1440;25;2239;0;23;1241;0;3;;1;24;3;2;1;2;1;3;;;;;1;;;;2.99;;1;23.54;2.66;1.33;0.1;1.6;1;0;0;0;0;0;0
BIO;2019;240000372;240000059;1;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;293300;121685;6081;;;;;;;;0;1;0;9;2;0;0;0;0;0;1;1;7;2;0;0;0;0;0;2.42;0.54;10.92;3.24;0;0;0;0;;0;1;;1;0
BIO;2019;240000489;240000117;1;1;0;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0;1;1388244;52977;32907;5017;2958;6472;17;128;2006;743;4;;2;24;14;1;0;1;2;;;0;2;0;2;0;0;1;5.53;;1.4;25.09;13.03;2.33;0;1;2.5;0;;1;1;;
BIO;2019;250000700;250000452;1;1;0;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;;;;;;;;;;;;2;;5;;;;;;;1;1;8;6;;;;;;2.27;0.5;10.56;3.07;;;;;0;0;0;0;1;0
BIO;2019;250006954;250000015;1;1;0;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;3123647;60274;27950;12629;4431;23040;82;444;1425;0;9;5;3;54;22;2;1;12;9;30;7;0;47;20;7;0;12;4;21.86;6.1;2.5;89.43;37.31;4.39;1;20;10.75;0;0;1;1;1;1
BIO;2019;260000013;260000021;1;1;0;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;1262710;54460;52236;6259;2036;10066;14;115;11421;1866;1;2;2;18;7;5;1;10;3;0;3;0;27;13;4;0;2;8;1;4.51;2;35.21;9.71;4.97;0.5;11.05;4.79;0;0;1;1;1;0
BIO;2019;260000120;260016910;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;1;992617;107454;88637;;;;;;;;3;;;16;4;;;;;1;;1;7;3;;;;;3.5;;0.8;22.03;6.69;;;;;0;;1;1;;0
BIO;2019;260000138;260000047;1;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;1;788313;126534;15443;0;;0;;;;;3;0;1;15;3;0;0;0;0;3;0;0;14;5;0;0;0;0;5.31;0;1;22.39;6.63;0;0;0;0;0;;1;1;;0
