bor;an;fi;rs;rscom;fi_ej;grp;stj;stjr;cat;catr;espic;mft;ccr;nat;sir;reg;dep;reg_diff;dep_diff;COMINSEE;NOMCOM;ARMT;CHLEJ0;FIPRE;ETAT_SAISIE;FINRAT;VAGUE;PROVENANCE;NUMVOI;TYPVOI;NOMVOI;BP;CPO;LIBCOM;COMPD;FILIALE0;SIRTET;RSTET;FIAUT1;RSAUT1;FIAUT2;RSAUT2;FIAUT3;RSAUT3;FIAUT4;RSAUT4;FIAUT5;RSAUT5;FIAUT6;RSAUT6;FIAUT7;RSAUT7;DADS_C1;DADS_C2;DADS_C3;DADS_C4;DADS_D1;MODEJ;TYPMD1;TYPMD2;TYPMD3;FIFU1;FIFU2;FIFU3;SCFU1;SCFU2;SCFU3;VAL;RESPREG
ID;2019;450018395;CTE AUTODIALYSE ARCHETTE-CH PITHIVIERS;;450001466;07;72;2;146;PLU5;0;4;5;0;34275533700033;24;45;24;45;45252;PITHIVIERS;;0;;6;450001466;1;1;10;BD;BEAUVALLET;;45300;PITHIVIERS;CENTRE HOSPITALIER DE PITHIVIERS;0;;;;;;;;;;;;;;;;;342755337;;;;;0;;;;;;;;;;P;124
ID;2019;450018460;CENTRE DE NEPHROLOGIE AMILLY;;920033610;07;95;2;141;PLU5;0;4;5;0;43254564800052;24;45;24;45;45004;AMILLY;;0;;6;920033610;1;1;658;R;DES BOURGOINS;;45200;AMILLY;CENTRE HOSPITALIER;1;443357702;AVITUM France;;;;;;;;;;;;;;;432545648;;;;;0;;;;;;;;;;P;124
ID;2019;450018528;ASSAD HAD DU LOIRET;;370001638;09;60;3;127;PNL10;6;4;0;0;77534850100096;24;45;24;45;45075;LA CHAPELLE-SAINT-MESMIN;;0;;6;;1;1;4;R;DE MICY;;45380;LA CHAPELLE ST MESMIN;;0;;;;;;;;;;;;;;;;;;77534850100096;;;0;0;;;;;;;;;;P;124
ID;2019;450018536;HAD ORLEANS MONTARGIS;;440052041;09;95;2;127;PLU10;0;5;5;0;80753946500037;24;45;24;45;45232;OLIVET;;0;;6;;1;1;155;R;DE BEUVRON;;45160;OLIVET;;1;484434113;LNA ES;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;124
ID;2019;450018924;CLINIQUE DU PONT DE GIEN;;450015409;15;75;2;161;PLU7;0;4;5;0;49274368700021;24;45;24;45;45155;GIEN;;0;;6;;1;1;;R;DES COTEAUX DU GIENNOIS;;45500;GIEN;LE HAUT DES CREUSES;1;438204562;RAMSAY SANTE;;;;;;;;;;;;;;;492743687;;;;0;0;;;;;;;;;;P;124
ID;2019;450019336;CTRE RADIOTHÉRAPIE/ONCOLOGIE-BOURGOINS;;450018478;18;85;2;699;PLU10;0;5;0;0;49878916300017;24;45;24;45;45004;AMILLY;;0;;6;450018478;1;1;658;R;DES BOURGOINS;;45200;AMILLY;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;124
ID;2019;450019799;CHAM - SITE LA CERISAIE;;450000104;04;14;1;362;PUB9;1;0;;0;26450022400151;24;45;24;45;45004;AMILLY;;;;6;450000104;1;1;211;R;DU DOCTEUR NANDROT;;45200;AMILLY;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;124
ID;2019;450020698;A.T.I.R.R.O. AUTODIALYSE BELLEGARDE;;450001201;07;60;3;146;PNL5;6;4;1;0;32503248000122;24;45;24;45;45031;BELLEGARDE;;0;;6;450001201;1;1;;R;ORLEANAISE;;45270;BELLEGARDE;;0;;;;;;;;;;;;;;;;;325032480;32503248000122;;;1;0;;;;;;;;;;P;124
ID;2019;460000045;CH FIGEAC SITE MAQUISARDS;;460780083;04;13;1;355;PUB2;1;0;;0;26460003200017;76;46;76;46;46102;FIGEAC;;0;;6;460780083;1;;33;R;DES MAQUISARDS;BP 207;46106;FIGEAC CEDEX;;;;;;;;;;;;;;;;;;;264600032;26460003200017;;;0;0;;;;;;;;;;P;176
ID;2019;460000052;CH ST JACQUES ST CERE;;460780091;04;13;1;355;PUB2;1;0;;0;26460011500010;76;46;76;46;46251;SAINT-CERE;;0;;6;460780091;1;1;11;AV;DOCTEUR ROUX;;46400;ST CERE;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;176
ID;2019;460000060;CRF LA ROSERAIE;;460780117;09;47;3;109;PNL8;6;1;1;0;39299380400021;76;46;76;46;46204;MONTFAUCON;;0;;6;;1;1;3;;Place de laz Mairie;;46240;MONTFAUCON;;0;;;;;;;;;;;;;;;;;392993804;39299380400021;;;0;0;;;;;;;;;;P;176
ID;2019;460000102;CH JEAN COULON GOURDON;;460780208;04;13;1;355;PUB2;1;0;;0;26460004000010;76;46;76;46;46127;GOURDON;;0;;6;460780208;1;1;;AV;PASTEUR;BP 40054;46300;GOURDON;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;176
ID;2019;460000110;CH JEAN ROUGIER CAHORS;;460780216;04;13;1;355;PUB2;1;0;;0;26460001600010;76;46;76;46;46042;CAHORS;;0;;6;460780216;1;;335;R;PRESIDENT WILSON;BP 50269;46005;CAHORS CEDEX 9;;;;;460005531;GIE Imagerie Résonance Magnétique;;GCS Pôle Santé de Cahors;460006216;GCS Laboratoire Interhospitalier de Biologie du Qu;;;;;;;;;264600016;26460001600010;;;0;0;;;;;;;;;;P;176
ID;2019;460000227;C.H.(EX H.L.) LOUIS CONTE GRAMAT;;460780430;04;13;1;106;PUB2;1;0;;0;26460017200011;76;46;76;46;46128;GRAMAT;;0;;6;460780430;1;;150;AV;FRANCOIS SOULADIE;;46500;GRAMAT;;;;;;;;;;;;;;;;;;;264600172;26460017200011;;;;0;;;;;;;;;;P;176
ID;2019;460004641;AAIR UAD PRAYSSAC;;310000633;07;60;3;146;PNL5;6;4;1;0;77695216000492;76;46;76;46;46225;PRAYSSAC;;0;;6;310000633;1;1;;LOT;LES PLANTADES;;46220;PRAYSSAC;;1;776952160;AAIR;;;;;;;;;;;;;;;776952160;77695216000401;77695216000435;77695216000518;0;0;;;;;;;;;;P;176
ID;2019;460006075;CL FONT REDONDE;;460006067;09;95;2;365;PLU4;0;4;5;0;53940643900015;76;46;76;46;46102;FIGEAC;;0;;6;;2;1;1B;AV;GEORGES CLEMENCEAU;;46100;FIGEAC;;0;;;;;;;;;;;;;;;;;539406439;53940643900015;53940643900023;;0;0;;;;;;;;;;P;176
ID;2019;460006083;CSSR NOTRE DAME;;460785090;09;60;3;109;PNL8;6;1;1;0;30818675800329;76;46;76;46;46038;BRETENOUX;;0;;6;;1;1;119;R;DU MOULIN DE CERE;;46130;BRETENOUX;;0;;;;;;;;;;;;;;;;;;30818675800329;;;0;0;;;;;;;;;;P;176
ID;2019;460006109;CH FIGEAC SITE CLEMENCEAU;;460780083;04;13;1;355;PUB2;1;0;;0;26460020600017;76;46;76;46;46102;FIGEAC;;0;;6;460780083;1;1;1B;AV;GEORGES CLEMENCEAU;;46100;FIGEAC;;;;;;;;;;;;;;;;;;;264600032;26460003200017;;;0;0;;;;;;;;;;P;176
ID;2019;460006349;SSR BEAUSEJOUR;;460000029;09;95;2;109;PLU8;0;4;5;0;48771926200023;76;46;76;46;46191;MERCUES;;0;;6;;1;1;212;RUE;COMTE DE MOSBOURG;MERCUES;46090;MERCUES;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;176
ID;2019;460780042;SSR CL DU QUERCY BELLEVUE;;460000029;09;95;2;109;PLU8;0;4;5;0;48771926200015;76;46;76;46;46042;CAHORS;;0;;6;;1;1;186;R;DU DR JEAN SEGALA;;46000;CAHORS;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;176
ID;2019;460785090;INSTITUT CAMILLE MIRET;CH JEAN PIERRE FALRET;;05;60;3;292;PNL3;6;1;1;1;308186758;76;46;76;46;46170;LEYME;;0;;6;;1;1;256;RTE;DE LACAPELLE MARIVAL;;46120;LEYME;;0;;;;;;;;;;;;;;;;;308186758;30818675800014;30818675800303;30818675800816;1;0;;;;;;;;;;P;176
ID;2019;460785595;USLD CH CAHORS;;460780216;04;13;1;362;PUB9;1;0;;0;26460001600069;76;46;76;46;46042;CAHORS;;0;;6;460780216;1;;;CHE;DE LA POUPONNIERE;;46000;CAHORS;LES BERGES DU LOT;;;;;;;;;;;;;;;;;;;26460001600069;;;;0;;;;;;;;;;P;176
ID;2019;460785900;CL DU RELAIS;;460002207;09;72;2;109;PLU8;0;4;5;0;34279848500013;76;46;76;46;46044;CAILLAC;;0;;6;;1;1;;;;;46140;CAILLAC;RELAIS DES CHAMPS;0;;;;;;;;;;;;;;;;;342798485;34279848500013;;;0;0;;;;;;;;;;P;176
ID;2019;460786346;AAIR UAD CAHORS;;310000633;07;60;3;146;PNL5;6;4;1;0;77695216000468;76;46;76;46;46042;CAHORS;;0;;6;310000633;1;1;477;AV;MARYSE BASTIE;;46000;CAHORS;;1;776952160;AAIR;;;;;;;;;;;;;;;776952160;77695216000401;77695216000435;77695216000518;0;0;;;;;;;;;;P;176
ID;2019;460786353;AAIR UAD UDM FIGEAC;;310000633;07;60;3;146;PNL5;6;4;1;0;77695216000344;76;46;76;46;46102;FIGEAC;;0;;6;310000633;1;1;1239;CHE;DES CRETES;;46100;FIGEAC;;1;776952160;AAIR;;;;;;;;;;;;;;;776952160;77695216000401;77695216000435;77695216000518;0;0;;;;;;;;;;P;176
ID;2019;460786478;AAIR UAD MONTFAUCON;;310000633;07;60;3;146;PNL5;6;4;1;0;77695216000203;76;46;76;46;46204;MONTFAUCON;;0;;6;310000633;1;1;;CTRE;LA ROSERAIE;;46240;MONTFAUCON;;1;776952160;AAIR;;;;;;;;;;;;;;;776952160;77695216000401;77695216000435;77695216000518;0;0;;;;;;;;;;P;176
ID;2019;470000027;CLINIQUE ESQUIROL-SAINT-HILAIRE;;470014069;09;95;2;365;PLU4;0;4;5;0;43321351900047;75;47;75;47;47001;AGEN;;0;;6;;2;1;1;R;DR ET MME DELMAS;;47002;AGEN CEDEX;;1;802799171;Elsan holding;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;P;175
ID;2019;470000159;CLINIQUE CALABET;;470014069;09;95;2;129;PLU4;0;4;5;0;43321351900054;75;47;75;47;47001;AGEN;;0;;6;;2;1;13;QU;DU DR CALABET;;47000;AGEN;;1;802799171;Elsan holding;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;175
ID;2019;470000175;CENTRE DELESTRAINT FABIEN;;750826604;09;60;3;109;PNL8;6;1;1;0;78220161000014;75;47;75;47;47203;PENNE-D'AGENAIS;;0;;6;;1;1;;;LIEU DIT FERRIE;BP 6 - 47301 VILLENEUVE SUR LOT CEDEX;47140;PENNE D AGENAIS;LIEU DIT FERRIE;0;;;;;;;;;;;;;;;;;782201610;78220161000014;;;0;0;;;;;;;;;;P;175
ID;2019;470000308;CENTRE MEDECINE PHYS READAPT VIRAZEIL;;930019484;09;61;3;109;PNL8;6;1;1;0;77569338500160;75;47;75;47;47326;VIRAZEIL;;0;;6;;1;1;;;;;47200;VIRAZEIL;CHATEAU DE VIRAZEIL;1;775693385;LADAPT;;;;;;;;;;;;;;;775693385;;;;;0;;;;;;;;;;P;175
ID;2019;470000423;CH AGEN NERAC - HOPITAL SAINT-ESPRIT;;470016171;04;14;1;355;PUB2;1;0;;0;20005309800014;75;47;75;47;47001;AGEN;;0;;6;470016171;2;;;RTE;DE VILLENEUVE;;47923;AGEN CEDEX 9;;;;;470001918;IRM GROUPEMENT D'IMAGERIE MEDICALE DU PAYS DE L'AG;;;;;;;;;;;;;200053098;20005309800014;;;;0;;;;;;;;;;P;175
